【职场“摸鱼”神器】Python自动化办公：3分钟完成一天工作(博文视点出品) 负基础学Python，迅速掌握Office（Word、PPT、Excel）自动化、数据处理、网络爬虫；高效、精进成长，职场逆袭；附赠视频、源代码、在线答疑　单册100册以上团购电话4006186622,￥44.50,1万+条评价,电子工业出版社京东自营官方旗舰店
Python程序设计基础（第2版）（计算机系列教材） 语言精练、代码优雅。深入剖析Python编程模式，使用简练的语言和代码介绍Python语法和应用，诠释Pythonic真谛.　团购电话4006186622,￥44.50,2000+条评价,清华大学出版社京东自营官方旗舰店
【赠视频课程】Python从入门到精通实战 python教程自学全套 编程入门书籍零基础自学电脑计算机程序设计基础编程从入门到实践语言程序爬虫 广,￥36.80,2000+条评价,广东人民出版社官方旗舰店
name,price,count,shop
包邮2本】看漫画学Python1+2 程序设计书籍由入门到精通简单入门 Python编程课程软件开发 凤凰新华书店旗舰店,￥88.00,100+条评价,凤凰新华书店旗舰店
Python王者归来（增强版） 中国台湾天龙书局科技榜霸榜3年TOP5。全彩印刷。以一敌十的Python全书　单册100册以上团购电话4006186622,￥84.50,2万+条评价,清华大学出版社京东自营官方旗舰店
深入浅出Pandas：利用Python进行数据处理与分析 《Python编程：从入门到实践》《零基础学Python》《利用Python进行数据分析》学习伴侣，用好Python必备团购电话4006186622,￥70.50,5万+条评价,机械工业出版社京东自营官方旗舰店
Python 3标准库 Python编程进阶学习手册：帮你迅速掌握Python编程，案头Python学习手册。涵盖文本、数据结构、算法、网络通信、互联网、并发、模块工具等　团购电话4006186622,￥141.70,5万+条评价,机械工业出版社京东自营官方旗舰店
Python项目开发实战 精选12个经典Python开发案例，附赠丰富的视频和项目源码团购电话4006186622,"￥69.80
￥38.70",200+条评价,清华大学出版社京东自营官方旗舰店
金融人工智能：用Python实现AI量化交易（图灵出品） 机器学习知识+大量Python示例，帮助您走入AI金融新赛道，从过去到未来，全景式理解AI在金融领域的应用！ 单册数量100本以上可联系团购电话4006186622,￥97.30,500+条评价,人民邮电出版社京东自营官方旗舰店
Python绝技：运用Python成为顶级黑客,￥47.40,71条评价,电子工业出版社官方旗舰店
Effective Python：编写高质量Python代码的90个有效方法（原书第2版） Python编程进阶必读，基于Python3.8，新增31条建议！掌握Pythonic编程方式，写出高质量代码|进阶到编程高手的程序员修炼之道和代码整洁之道,￥91.80,5万+条评价,机械工业出版社京东自营官方旗舰店
我跟爸爸学编程：从Python到C++ 从初中生的视角讲解Python和C++两种语言　团购电话4006186622,"￥52.10
￥28.90",500+条评价,清华大学出版社京东自营官方旗舰店
明解Python（图灵出品） python编程自学入门基础教程，py程序设计开发教程书，py爬虫入门案例实战，明解c语言作者又一力作，彩色印刷，299段代码＋165幅图表，更生动、更易懂！　单册100册以上团购电话4006186622,￥112.90,200+条评价,人民邮电出版社京东自营官方旗舰店
Python量化交易实战从入门到精通 深入浅出python股票期货量化交易python金融大数据分析量化投资 算法量化交易基本面策略量化交易软件拆解 量化投资,￥34.90,2万+条评价,中国水利水电出版社京东自营官方旗舰店
2022年新版python编程从入门到精通计算机零基础自学全套python零基础从入门到实战编程语言程序爬虫精通教程程序设计开发书籍,￥16.80,200+条评价,中昊欣彩图书专营店
从Python开始学编程(博文视点出品),￥24.50,1万+条评价,电子工业出版社京东自营官方旗舰店
Python代码整洁之道 从一个有能力的Python程序员成长为专业的开发人员必读书，教会读者设计和编写可理解、可维护和可扩展的专业软件。源代码获取地址见书封底二维码。　单册100册以上团购电话4006186622,￥39.90,1000+条评价,清华大学出版社京东自营官方旗舰店
Python深度学习：基于PyTorch 第2版 涉及ChatGPT、AIGC技术的核心内容 畅销书升级，PyTorch领域公认标准著作，20余年研发经验AI专家撰写，详解PyTorch深度学习全栈知识。,￥77.60,5万+条评价,机械工业出版社京东自营官方旗舰店
Python青少年趣味编程（全彩） 50个精彩的游戏编程实例，让编程不再是枯燥的代码，而是有趣的思维活动！　团购电话4006186622,￥34.50,2000+条评价,电子工业出版社京东自营官方旗舰店
让工作化繁为简：用Python实现办公自动化 超简单用python让Excel、word、ppt飞起来、零基础学python、网络爬虫、让繁琐的工作自动化，减少重复工作，比excelvba更好用更好学　团购电话4006186622,￥56.80,5万+条评价,机械工业出版社京东自营官方旗舰店
Python程序设计基础 团购电话4006186622,￥27.70,200+条评价,高等教育出版社京东自营官方旗舰店
Python少儿趣味编程 教孩子学编程(教学书)少儿编程入门教程图书 零基础自学编程 凤凰新华书店旗舰店,￥49.80,9条评价,凤凰新华书店旗舰店
Python全栈测试开发（视频案例版）python全栈安全python全栈开发基础入门项目开发实战 web自动化测试app自动化测试 接口自动化测试自动化测试,￥54.00,5万+条评价,中国水利水电出版社京东自营官方旗舰店
Python少儿趣味编程(异步图书出品) 少儿编程书作者李强老师教孩子学Python编程，少儿编程入门教程图书，零基础自学Python，全彩印刷，提供代码素材下载，方便亲子互动和少儿自学　团购电话4006186622,￥60.00,5万+条评价,人民邮电出版社京东自营官方旗舰店
Python数据分析基础(图灵出品) 200册以上团购电话：01089111488,￥60.00,1万+条评价,人民邮电出版社京东自营官方旗舰店
Python GUI设计PyQt5从入门到实践（Qt5编程入门 数据可视化 Python3全彩版）,￥47.00,20万+条评价,明日科技京东自营官方旗舰店
Python程序设计 第3版(异步图书出品) Python零基础自学教程，Python编程从入门到实践教程书，基于Python3编写，提供代码示例和教学PPT　团购电话4006186622,￥60.00,50万+条评价,人民邮电出版社京东自营官方旗舰店
零基础Python从入门到精通 python3新特性编写python编程从入门到实践 【2册】+C++从入门到精通,￥74.80,100+条评价,广东人民出版社图书专营店
精通Python（微课视频版）chatgpt聊天机器人python编程从入门到实践数据分析网络爬虫游戏编程人工智能算法 零基础入门学习基础教程编程快速,￥54.00,5万+条评价,中国水利水电出版社京东自营官方旗舰店
Python数据分析从入门到精通 248个应用示例+20个综合案例+4个行业项目案例+136集Python零基础扫盲课，零基础入门+范例导学+项目实战，30天成为数据分析高手。　200册以上团购电话：01089111488,"￥70.90
￥44.00",5000+条评价,清华大学出版社京东自营官方旗舰店
Python自动化编程实战—让繁琐工作自动化（翻译版+视频讲解）python爬虫matplotlib 利用进行数据分析 编程思维自动化编程实战入门书籍教材,￥44.90,5万+条评价,中国水利水电出版社京东自营官方旗舰店
Python数据科学手册(图灵出品) 从计算环境配置到机器学习实战书籍，大量示例，逐步讲解，举一反三，掌握用Scikit-Learn，NumPy等工具存储，处理和分析数据，切实解决工作痛点　200册以上团购电话：01089111488,￥94.80,2万+条评价,人民邮电出版社京东自营官方旗舰店
科学计算+数据处理+数据分析：python+numpy+pandas（套装共3册）人工智能书籍chatgpt聊天机器人数据库算法入门算法竞赛机器学习深度学习强化学习数,￥172.90,5万+条评价,智博尚书京东自营官方旗舰店
name,price,count,shop
Python从入门到精通实战 python教程自学全套 编程入门书籍零基础自学电脑计算机程序设计基础编程从入门到实践语言程序爬虫,￥36.80,2000+条评价,广东人民出版社图书专营店
Python网络编程（第3版）(图灵出品) 100册以上团购优惠联系电话4006186622,￥62.40,2000+条评价,人民邮电出版社京东自营官方旗舰店
【正版包邮】Python编程从入门到实践第2版 计算机入门精通教程基础自学深度学习数据分析语言,￥69.80,500+条评价,凤凰新华书店旗舰店
零基础入门学习Python 小甲鱼 python编程从入门到精通实践 pathon语言程序设计实战基础教程全套 计算机电脑编程入门自学书籍,￥63.20,200+条评价,虎彩图书旗舰店
父与子的编程之旅 与爸爸一起学Python（全彩） 寓教于乐，增进父子感情，培养孩子的编程能力、专注力、逻辑思维能力、抽象思维能力、信息整合能力、团队协作能力和升学竞争力，让孩子赢在起点！　团购电话4006186622,￥36.70,2000+条评价,北京大学出版社京东自营官方旗舰店
Python+Excel/Word/PPT一本通（图灵出品） 零基础轻松掌握Python办公自动化诀窍，逐行解析代码，学会办公软件与python结合办公！免费赠送随书PPT+源代码+视频，助你成为办公室效率'超人'！,￥74.80,500+条评价,人民邮电出版社京东自营官方旗舰店
Python游戏编程入门 Python游戏开发小游戏教程图书 python项目编程 游戏设计游,￥51.80,99条评价,芝麻开门图书专营店
【自营】C#编程入门指南 Visual Studio/Socket网络编程/WinForm/可搭C语言//HTML/CSS/C++/PHP/Java,￥59.20,2000+条评价,华研外语官方店京东自营官方旗舰店
青少年Python编程入门（异步图书出品） STEM创新教育系列图书，中小学编程入门教程，Python零基础自学入门图书 200册以上团购电话：01089111488,￥39.20,2000+条评价,人民邮电出版社京东自营官方旗舰店
正版8册:Python编程自学套装 Python编程三剑客新版 Python编程从入门到实践 快速上手 极客编程实战 一流行 密码学编程 用学数学编程,￥535.00,15条评价,静默时光图书专营店
图解LeetCode初级算法 Python版 9787302539896清华大学出版社 正版保证，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,￥36.00,0条评价,读书得间图书专营店
Python语言在Abaqus中的应用 第2版 99个实例的Python脚本文件、INP文件和ODB文件，及编写思路、实现方法与技巧 100册以上团购优惠联系电话4006186622,￥56.20,1万+条评价,机械工业出版社京东自营官方旗舰店
正版Java Python Java8 从入门到项目实战 C语言 SQL数据库从入门到精通 编程零基础自学入门教材教程 中国水利水电出版社 编程入门三剑客(套装共3册),￥149.50,42条评价,新华文馨图书专营店
Python参考手册 第4版 修订版(异步图书出品) Python编程经典著作全面修订，Python核心编程精选，Python程序员案头必读　团购电话4006186622,￥70.30,2000+条评价,人民邮电出版社京东自营官方旗舰店
零基础Python从入门到精通 python3新特性编写python编程从入门到实践 Python,￥36.80,100+条评价,广东人民出版社图书专营店
Python深度学习异常检测 使用Keras和PyTorch 如何将深度学习应用于各种异常检测任务！如何利用Python中的Keras和PyTorch框架，将各种深度学习模型应用于半监督和无监督异常检测任务。　团购电话4006186622,￥73.50,1万+条评价,清华大学出版社京东自营官方旗舰店
【自营】HTML+CSS+JavaScript/+C语言+java+python编程入门指南 SQL/Visual/Web/JSP/MySQL/Django/Pygame/Flask,￥236.90,200+条评价,华研外语官方店京东自营官方旗舰店
利用Python实现概率、统计及机器学习方法（原书第2版） 涵盖概率论、统计学和机器学习领域的关键思想，阐释如何基于Python模拟、概念化和可视化随机统计过程,￥84.70,52条评价,机械工业出版社京东自营官方旗舰店
Python金融实战案例精粹（第2版）《基于Python的金融分析与风险管理（第 2 版）》的姊妹篇 斯文博士新作 人民邮电出版社,￥93.40,25条评价,芝麻开门图书专营店
python编程从入门到精通 基于python3编写适用于各个版本,￥28.80,29条评价,翰宇图书专营店
笨办法学Python 3(异步图书出品) Python入门教程升级版，Python3编程从入门到实践教程，配套视频，跟着Python导师学Python编程入门基础教程，代码基于Python3.6,￥46.60,50万+条评价,人民邮电出版社京东自营官方旗舰店
正版 Python强化学习实战:使用OpenAI Gym、TensorFlow和Keras 正版,￥49.80,12条评价,阁雅图书专营店
Python编程实战 妙趣横生的项目之旅(异步图书出品） Python编程实践教程，以20多个Python项目，带读者体验Python的奇妙之旅，适合Python初学者，配套资源代码免费送　团购电话4006186622,￥86.90,500+条评价,人民邮电出版社京东自营官方旗舰店
Python预测之美：数据分析与算法实战(博文视点出品) 以Python语言为基础，配合原理、方法、案例进行讲解专注预测专题，体系化介绍预测技术工程实施的必备技能 100册以上团购优惠联系电话4006186622,￥59.50,2万+条评价,电子工业出版社京东自营官方旗舰店
利用Python进行数据分析（原书第2版）python数据分析实战 数据挖掘分析 精通数据科学,￥83.30,26条评价,芝麻开门图书专营店
Python高性能编程(异步图书出品) py爬虫程序设计编程入门零基础自学，从入门到实践，本书帮助你更加深刻地理解Python的实现。你将学习如何找到性能瓶颈，以及如何在大数据量的程序中显著加快代码 单册100册以上团购电话4006186622,￥86.80,93条评价,人民邮电出版社京东自营官方旗舰店
利用Python进行数据分析 原书第2版 python基础入门教程 python数据分析 爬虫程序大数据处理手册 计算机程序设计图书籍,￥59.50,5000+条评价,文轩网旗舰店
Python数据分析实战 第2版(图灵出品) 尽览数据分析全貌，用Python新工具和技术进行数据分析，包含深度学习、计算机视觉、自然语言处理、气象分析等热门内容，轻松驾驭大数据,￥59.20,1万+条评价,人民邮电出版社京东自营官方旗舰店
包邮2本】看漫画学Python1+2 程序设计书籍由入门到精通简单入门 Python编程课程软件开发 凤凰新华书店旗舰店,￥88.00,100+条评价,凤凰新华书店旗舰店
Python算法教程(异步图书出品) 团购电话4006186622,￥60.00,50万+条评价,人民邮电出版社京东自营官方旗舰店
name,price,count,shop
疯狂Python讲义（5周年纪念版）,￥51.50,2万+条评价,电子工业出版社京东自营官方旗舰店
Python工匠：案例、技巧与工程实践(基于Python3.8，实现从入门到工匠的跃迁)（图灵出品）,￥78.80,50万+条评价,人民邮电出版社京东自营官方旗舰店
Python函数参考手册（Python3全彩版）内置函数速查，赠源码、电子书、快用目录,￥33.10,20万+条评价,明日科技京东自营官方旗舰店
自然语言处理入门 Python/Java双代码实现(图灵出品) HanLP作者/码农场博主何晗经验汇集，NLP入门书，自然语言处理教程，Python与Java代码双实现，人工智能机器学习算法工程师参考　200册以上团购电话：01089111488,￥78.20,2万+条评价,人民邮电出版社京东自营官方旗舰店
Effective Python：改善Python程序的90个建议 （第2版）（英文版）(博文视点出品),￥64.00,5000+条评价,电子工业出版社京东自营官方旗舰店
Python机器学习手册：从数据预处理到深度学习(博文视点出品) 用近200个小任务的解决方案以及代码，教你解决机器学习日常开发中的细节问题 100册以上团购优惠联系电话4006186622,￥44.50,1万+条评价,电子工业出版社京东自营官方旗舰店
Python 3标准库华章程序员书库 程序设计 python3 操作系统网络通信,￥133.00,15条评价,芝麻开门图书专营店
算法实例精讲—Python语言实现 python从入门到实践算法基础导论算法小抄算法竞赛入门算法之美设计与分析算法数学,￥34.90,5万+条评价,中国水利水电出版社京东自营官方旗舰店
Python算法交易 本书介绍了如何在算法交易领域使用Python。,￥64.00,100+条评价,中国电力出版社京东自营官方旗舰店
流利的Python语言（影印版 第2版 套装上下册）,￥167.10,89条评价,南京东南大学出版社京东自营官方旗舰店
Python数据科学实践 狗熊会（数据产业高端智库）官方出品：源于实践、终于实战的Python数据分析与大数据处理精进指南！　团购电话4006186622,￥51.70,5000+条评价,北京大学出版社京东自营官方旗舰店
算法深潜：勇敢者的Python探险 单册100册以上团购电话4006186622,￥50.00,1000+条评价,电子工业出版社京东自营官方旗舰店
OpenCV轻松入门 面向Python,￥59.40,100+条评价,文轩网旗舰店
"Python程序设计基础教程//作者：徐超, 赵燕飞",￥33.80,1000+条评价,中创图书专营店
基于Python的大数据分析基础及实战python数据分析基础 数据处理数据之道数据结构数据治理大数据时代数据荒岛求生,￥34.90,5万+条评价,中国水利水电出版社京东自营官方旗舰店
python数据分析教科书 大数据时代机器学习数据科学自然语言处理中的数据处理与分析技术 网络爬虫技术numpy pandas Matplotlib scikit-learn,￥44.90,5万+条评价,中国水利水电出版社京东自营官方旗舰店
Python编程从入门到实践+快速上手+极客编程+Python数学编程网络爬虫开发(图灵+异步出品),￥224.60,31条评价,华心图书专营店
深度学习进阶 自然语言处理+深度学习入门 基于Python3的理论与实现+深度学习实战书籍,￥182.50,20条评价,华心图书专营店
Python编程三剑客新版：Python编程从入门到实践第2版+快速上手第2版+极客编程（套装3册）,￥148.80,30条评价,芝麻开门图书专营店
python青少年趣味编程入门与进阶：python编程基础+实操动手教程（套装共2册）青少年学小学生教孩子学编程小学生编程幼儿编程启蒙编程真好玩游,￥79.80,2万+条评价,智博尚书京东自营官方旗舰店
OpenCV和Qt5计算机视觉应用开发+机器学习 基于OpenCV和Python的智能图像处理+OpenCV 4计算机视觉项目实战+基于GPU加速的计算机视觉编程,￥254.00,90条评价,书香神州图书专营店
量化投资\\交易四部曲：Python量化交易\\零起点 大数据与量化交易\\零起点TensorFlow与量化交易\\技术分析实战 正版 全四册,￥323.00,200+条评价,静默时光图书专营店
【包邮】labuladong的算法小抄(Python Java C++零基础)(博文视点出品) GitHub高赞硬核算法教程，Offer收割机带你搞定算法，挑战大厂Offer，获CSDN“程序员IT好书评选”奖，力扣正式授权，赠LeetCode劵,￥50.50,10万+条评价,电子工业出版社京东自营官方旗舰店
Python编程练习与解答 Python入门书，精选186道涵盖各学科和日常生活的实用练习题，帮助程序员扎实掌握基础知识，提高编程技能。　团购电话4006186622,￥37.30,1000+条评价,清华大学出版社京东自营官方旗舰店
【预售】台版Python－*强入门迈向数据科学之路王者归来深智数位洪锦魁33个主题1200个Pyth,￥377.52,0条评价,冬干甜图书专营店
算法之美Python语言实现视频案例算法图解 算法设计与分析算法导论数据结构与算法chatgpt聊天机器人人工智能数学基础算法算法竞赛入门算法训练营,￥34.90,5万+条评价,智博尚书京东自营官方旗舰店
NCT全国青少年编程能力等级测试教程：Python语言编程一级 青少年编程等级考试必备教材、图形化编程手册、Python等级考试备考　200册以上团购电话：01089111488,"￥52.20
￥28.40",1000+条评价,清华大学出版社京东自营官方旗舰店
Python全栈测试开发（视频案例版）Web自动化测试+APP自动化测试+接口自动化测试 pytest+Allure报告生成、Jenkins+Git 全栈测试开发（视频案例版）,￥60.48,70条评价,智博尚书旗舰店
像计算机科学家一样思考Python 第2版(异步图书出品) 学会像计算机科学家一样思考，轻松学Python 100册以上团购优惠联系电话4006186622,￥42.60,50万+条评价,人民邮电出版社京东自营官方旗舰店
正版Java Python Java8 从入门到项目实战 C语言 SQL数据库从入门到精通 编程零基础自学入门教材教程 中国水利水电出版社 编程入门三剑客(套装共3册),￥149.50,42条评价,新华文馨图书专营店
name,price,count,shop
【赠视频课程】Python从入门到精通实战 python教程自学全套 编程入门书籍零基础自学电脑计算机程序设计基础编程从入门到实践语言程序爬虫 广东人民出版社自营 教材,￥36.80,2000+条评价,广东人民出版社官方旗舰店
Python机器学习：数据建模与分析 ChatGPT背后的逻辑 薛薇老师新作，内容系统全面，案例丰富，配套资源全，全彩呈现数据建模可视化图像　团购电话4006186622,￥70.50,5000+条评价,机械工业出版社京东自营官方旗舰店
Python编程快速上手2：趣味小项目轻松学（异步图书出品） 趣味入门python编程，81个趣味小项目，独立源文件，强调实战性，让你快速上手Python编程！ 单册数量100本以上可联系团购电话4006186622,￥86.80,100+条评价,人民邮电出版社京东自营官方旗舰店
Python全栈 尾款3,￥7380.00,100+条评价,琼湖教育培训旗舰店
Python编程与数值方法 基于加州大学伯克利分校课程资料编写而成，面向没有编程经验的学生，涵盖实用的数值分析工具,￥77.60,10条评价,机械工业出版社京东自营官方旗舰店
Python编程超级魔卡 团购电话4006186622,￥14.90,2万+条评价,电子工业出版社京东自营官方旗舰店
【全3册】智能风控：原理、算法与工程实践+智能风控：Python金融风险管理与评分卡建模+智能风控实践指南：从模型、特征到决策,￥198.00,22条评价,芝麻开门图书专营店
Python数据结构与算法分析 第2版(图灵出品) 计算机科学教材，用Python描述数据结构与算法的开山之作，编程入门，Python教程，算法导论，数据结构与算法分析，算法竞赛入门　200册以上团购电话：01089111488,￥59.20,10万+条评价,人民邮电出版社京东自营官方旗舰店
少儿编程——趣味学Python 书中融入了很多贴近生活和工作的案例并配备练习挑战，“学习—应用—练习”交替让学习更高效。　团购电话4006186622,￥67.40,5000+条评价,中国铁道出版社京东自营官方旗舰店
Python项目开发实战入门（Python3全彩版）爬虫、数据分析、人工智能、Web开发……,￥47.00,20万+条评价,明日科技京东自营官方旗舰店
Django + Vue.js实战派――Python Web开发与运维 Django/Vue.js/Python/前后端分离/单元自动化测试/Postma/Redis/MySQL/Docker/Prometheus 单册100册以上团购电话4006186622,￥64.00,2万+条评价,电子工业出版社京东自营官方旗舰店
O'Reilly：Python文本分析 本书全面介绍了当今生产系统中常用的文本分析与自然语言处理的各种方法与技术。,￥64.00,2万+条评价,中国电力出版社京东自营官方旗舰店
【新华正版 现货当日发】机器学习实战:基于Scikit-Learn.Keras和TensorFlow(原书第2版) 奥雷利安·杰龙 深度学习 GAN 神经网络 蜥蜴书,￥77.50,500+条评价,文轩网旗舰店
Python网络爬虫从入门到精通 200个应用示例+1个行业项目案例+136集Python零基础扫盲课，零基础入门+范例导学+项目实战，30天成为网络爬虫高手。　团购电话4006186622,"￥88.10
￥48.90",5000+条评价,清华大学出版社京东自营官方旗舰店
Python金融大数据分析 第2版(异步图书出品) 金融科技算法交易量化金融教程书籍，详细讲解使用Python分析处理金融大数据的专业图书，将人工智能应用于金融开发的实战指南读物　200册以上团购电话：01089111488,￥120.90,50万+条评价,人民邮电出版社京东自营官方旗舰店
Python人工智能（清华开发者书库.Python） 汇聚新一代人工智能核心技术!全面掌握从理论到应用、从数据到模型、从编程语言到案例实现的全过程!　单册100册以上团购电话4006186622,"￥60.90
￥33.80",200+条评价,京东图书自营旗舰店
趣学Python游戏编程 高校教师多年开发经验结晶，深入浅出讲解使用Python语言进行程序开发　团购电话4006186622,"￥43.30
￥24.00",200+条评价,清华大学出版社京东自营官方旗舰店
"Python数据科学实战 chatgpt聊天机器人含NumPy和Pandas,Matplotlib应用Boosting算法XGBoost卷积神经网络CNN 人工智能深度机器学习自然人类语言处理",￥44.90,2万+条评价,中国水利水电出版社京东自营官方旗舰店
算法深潜：勇敢者的Python探险,￥50.00,1000+条评价,电子工业出版社京东自营官方旗舰店
Python机器学习原理与算法实现 致力于让掌握Python机器学习应用更简单、更实用、更高效,￥107.00,6条评价,清华大学出版社京东自营官方旗舰店
运筹优化常用模型、算法及案例实战——Python+Java实现 主要讲述运筹优化领域常用的数学模型、精确算法以及相应的代码实现。,"￥113.00
￥62.70",200+条评价,清华大学出版社京东自营官方旗舰店
程序员数学 用Python学透线性代数和微积分（图灵出品） 500余幅图片+300余个练习，图文结合，边学边练，通过写代码，重新发现数学之美，提供配套源代码和本书彩色图片下载200册以上团购电话：01089111488,￥97.30,1000+条评价,人民邮电出版社京东自营官方旗舰店
Python数据可视化之美：专业图表绘制指南（全彩）(博文视点出品) Matplotlib包的首席开发者ThomasCaswell和plotnine包的开发者与维护者HassanKibirige力荐 100册以上团购优惠联系电话4006186622,￥64.50,2万+条评价,电子工业出版社京东自营官方旗舰店
Python气象应用编程（异步图书出品） 循序渐进地介绍Python在气象数据处理与可视化方面的应用，以真实数据为基础进行气象数据整理和可视化，浅显易懂，快速上手！,￥100.30,500+条评价,人民邮电出版社京东自营官方旗舰店
OpenCV图像处理入门与实践OpenCV4计算机视觉Python实现OpenCV项目实战图像识,￥63.92,1条评价条评价,天喻图书专营店
Python自动化办公与RPA从入门到实战 零基础学python，RPA入门，用python实现办公自动化与RPA，减少重复工作。用Python操控office让工作更高效，办公自动化典型场景应用 单册100册以上团购电话4006186622,￥63.90,200+条评价,机械工业出版社京东自营官方旗舰店
